nombre_grado,universidad,tipo,facultad,direccion,telefonos,webs,emails
Empresas y Actividades Turísticas,Universidad Nacional de Educación a Distancia UNED,Pública,Facultad Ciencias Económicas y Empresariales,"Paseo Senda del Rey, 11 28040 Madrid",91 398 63 04,www.uned.es,negociado.economicas@adm.uned.es
Empresas y Actividades Turísticas,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Economía y de la Empresa Facultad de Ciencias de la Econo mía y de la Empresa Campus de Madrid,"Paseo Artilleros, s/n 28032 Vicálvaro (Madrid)",91 488 78 00 / 91 488 84 01,www.urjc.es,fuenlabrada.secretariadealumnos@urjc.es | madrid.secretariaalumnos@urjc.es
Empresas y Actividades Turísticas,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Economía y de la Empresa Facultad de Ciencias de la Econo mía y de la Empresa Campus de Madrid,"Camino del Molino, s/n 28943 Fuenlabrada (Madrid)",91 488 78 00 / 91 488 84 01,www.urjc.es,fuenlabrada.secretariadealumnos@urjc.es | madrid.secretariaalumnos@urjc.es
Empresas y Actividades Turísticas,Universidad a Distancia de Madrid UDIMA,Privada,Facultad Ciencias Económicas y Empresariales Ctra,,91 189 69 99,www.udima.es,informa@udima.es
"Comunicación Corporativa, Protocolo y Organización de Eventos",Universidad Camilo José Cela,Privada,Facultad de Comunicación y Humanidades Campus Villafranca,"C/ Castillo de Alarcón, 49 Urb. Villafranca del Castillo 28692 Villanueva de la Cañada (Madrid)",91 815 31 31,www.ucjc.edu,info@ucjc.edu
"Comunicación Corporativa, Protocolo y Organización de Eventos",Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Comunicación Campus Madrid,"Paseo Artilleros, s/n 28032 Vicálvaro (Madrid)",91 488 79 27 / 91 488 83 46,www.urjc.es,ferraz.secretariadealumnos@urjc.es | mostoles.secretariadealumnos@urjc.es
"Comunicación Corporativa, Protocolo y Organización de Eventos",Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Comunicación Campus Madrid,"C/ Quintana, 21 28008 Madrid",91 488 79 27 / 91 488 83 46,www.urjc.es,ferraz.secretariadealumnos@urjc.es | mostoles.secretariadealumnos@urjc.es
"Comunicación Corporativa, Protocolo y Organización de Eventos",Universidad Antonio de Nebrija,Privada,Facultad de Comunicación y Artes Campus MadridPrincesa,"C/ Santa Cruz de Marcenado, 27 28015 Madrid",91 452 11 01,www.nebrija.com,informa@nebrija.com
Biología 6. Estudios,Universidad de Alcalá,Pública,Facultad de Ciencias Campus CientíficoTecnológico,"Crta. de Barcelona, Km. 33,600 28871 Alcalá de Henares (Madrid)",91 885 49 16,www.uah.es/facultadciencias,decanato.biologia@uah.es
Biología 6. Estudios,Universidad Autónoma de Madrid,Pública,Facultad de Ciencias Edificio de Biología Campus Cantoblanco,"C/ Darwin, 2 28049 Madrid",91 497 43 31,www.uam.es,informacion.ciencias@uam.es
Biología 6. Estudios,Universidad Complutense de Madrid,Pública,Facultad de Ciencias Biológicas,"C/ José Antonio Novais,12 Ciudad Universitaria 28040 Madrid",91 394 50 29,www.ucm.es,biosecrest@ucm.es
Biología 6. Estudios,Universidad Rey Juan Carlos,Pública,Escuela Superior de Ciencias Experimentales y Tecnología Campus Mostoles,"C/ Tulipán, s/n 28933 Móstoles (Madrid)",91 664 74 18,www.urjc.es,escet.director@urjc.es
Biología 6. Estudios,Universidad Alfonso X El Sabio,Privada,Facultad de Farmacia Campus de Villanueva de la Cañada,"Avda. de la Universidad, 1 28691 Villanueva de la Cañada (Madrid)",91 810 92 00,www.uax.es,info@uax.es
Biología 6. Estudios,Universidad Europea de Madrid,Privada,Facultad de Ciencias Biomédicas y de la Salud Campus de Villaviciosa de Odón,"C/ Tajo, s/n. Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid)",91 414 66 11 / 91 740 72 72,www.universidadeuropea.es/madrid,ads@universidadeuropea.es
Biología 6. Estudios,Universidad Francisco de Vitoria,Privada,Facultad de Ciencias Experimentales Ctra,,91 351 03 03,www.ufv.es,info@ufv.es
Biología 6. Estudios,Universidad San Pablo CEU,Privada,Facultad de Farmacia Campus de Montepríncipe,Urb. Montepríncipe 28925 Alcorcón (Madrid),91 372 47 00,www.uspceu.com,info.usp@ceu.es
Biología 6. Estudios,,,,,,,
Biología 6. Estudios,Universidad Autónoma de Madrid,Pública,Facultad de Ciencias Edificio de Biología Campus de Cantoblanco,"C/ Darwin, 2 28049 Madrid",91 497 83 49,www.uam.es,informacion.ciencias@uam.es
Biología 6. Estudios,Universidad Carlos III de Madrid,Pública,"Escuela Politécnica Superior Edificio Sabatini, planta baja Campus Leganés","Avda. de la Universidad, 30 28911 Leganés (Madrid)",91 624 60 00,www.uc3m.es,futurosestudiantes@uc3m.esUniversidad
Ciencias Experimentales,Universidad Rey Juan Carlos,Pública,Escuela Superior de Ciencias Experimentales y Tecnología Campus de Móstoles,"C/ Tulipán, s/n 28933 Móstoles (Madrid)",91 664 74 18,www.urjc.es,escet.director@urjc.es
Nanociencia y Nanotecnología,Universidad Rey Juan Carlos,Pública,Escuela Superior de Ciencias Experimentales y Tecnología Campus de Móstoles,"C/ Tulipán, s/n 28933 Móstoles (Madrid)",91 665 50 61,www.urjc.es,escet.estudiantes@urjc.es
Ciencia y Tecnología,Universidad Autónoma de Madrid,Pública,Facultad de Ciencias Edificio de Ciencias de los Alimentos Campus de Cantoblanco,"C/ Max, 10 28049 Madrid",91 394 43 31,www.uam.es,informacion.ciencias@uam.es
Ciencia y Tecnología,Universidad Complutense de Madrid,Pública,Facultad de Veterinaria,"Avda. Puerta del Hierro, s/n Ciudad Universitaria 28040 Madrid",91 394 38 76,www.ucm.es,gervet@ucm.es
Ciencia y Tecnología,Universidad Rey Juan Carlos,Pública,Escuela Superior de Ciencias Experimentales y Tecnología Campus Móstoles,"C/ Tulipán, s/n 28933 Móstoles (Madrid)",91 664 74 18,www.urjc.es,escet.director@urjc.es
Ciencias Ambientales y Sostenibilidad,,,,,,,
Ciencias Ambientales y Sostenibilidad,Universidad de Alcalá,Pública,Facultad de Ciencias Campus Científico Tecnológico Ctra,,91 885 51 13,www.uah.es/facultadciencias,decanato.ambientales@uah.es
Ciencias Ambientales y Sostenibilidad,Universidad Autónoma de Madrid,Pública,Facultad de Ciencias Campus de Cantoblanco Edificio Biología,"C/ Darwin, 2 28049 Madrid",91 497 83 46,www.uam.es,informacion.ciencias@uam.es
Ciencias Ambientales y Sostenibilidad,Universidad Nacional de Educación a Distancia UNED,Pública,Facultad de Ciencias,"Paseo Senda del Rey, 9 28040 Madrid",91 398 89 03,www.uned.es,negociado.ambientales@adm.uned.es
Ciencias Ambientales y Sostenibilidad,Universidad Rey Juan Carlos,Pública,Escuela Superior de Ciencias Experimentales y Tecnología Campus de Móstoles,"C/ Tulipán, s/n 28933 Móstoles (Madrid)",91 664 74 18,www.urjc.es,escet.director@urjc.es
Recursos Hídricos,Universidad Rey Juan Carlos,Pública,Escuela Superior de Ciencias Experimentales y Tecnología Campus Móstoles,"C/ Tulipán, s/n 28933 Móstoles (Madrid)",916 64 74 18,www.urjc.es,escet.director@urjc.es
Ciencias Agrarias y Bioeconomía,Universidad Politécnica de Madrid,Pública,"Escuela Técnica Superior de Ingeniería Agronómica, Alimentaria y de Biosistemas Campus Ciudad Universitaria","Avda. Puerta de Hierro, 2 4 28040 Madrid",91 067 07 24,www.etsiaab.upm.es,gestion.administrativa.etsiaab@upm.es | secretaria.alumnos.etsiaab@upm.es
Ciencias Agrarias y Bioeconomía,Universidad de Alcalá,Pública,Facultad de Ciencias Campus CientíficoTecnológico Ctra,,91 885 51 13,www.uah.es/facultadciencias,deca.criminalistica@uah.es
Física,,,,,,,
Física,Universidad Alfonso X El Sabio,Privada,Escuela Politécnica Superior Campus de Villanueva de la Cañada,"Avda. de la Universidad, 1 28691 Villanueva de la Cañada (Madrid)",91 810 92 00,www.uax.es,info@uax.es
Física,Universidad Autónoma de Madrid,Pública,Facultad de Ciencias Campus Cantoblanco,"C/ Francisco Tomás y Valiente, 7 28049 Madrid",91 497 43 31,www.uam.es,informacion.ciencias@uam.es
Física,Universidad Complutense de Madrid,Pública,"Facultad de Ciencias Físicas Ciudad Universitaria Plaza de Ciencias, 1 28040 Madrid Tels",,91 394 46 27,www.ucm.es,infofisicas@ucm.es
Física,Universidad Europea de Madrid,Privada,"Escuela de Arquitectura, Ingeniería y Diseño Campus de Villaviciosa de Odón","C/ Tajo, s/n Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid)",91 414 66 11 / 91 740 72 72,www.universidadeuropea.es/madrid,ads@universidadeuropea.es
Física,Universidad Internacional de la Empresa UNIE,Privada,Facultad de CC,"C/ Arapiles, 14. 28015 Madrid",91 903 22 01,www.universidadunie.com,admisiones.grado@universidadunie.com
Física,Universidad Nacional de Educación a Distancia UNED,Pública,Facultad de Ciencias,"Paseo Senda del Rey, 9 28040 Madrid",91 398 71 15,www.uned.es,negociado.alumnos.fisicas@adm.uned.es
Física e Instrumentación Espacial,Universidad de Alcalá,Pública,Facultad de Ciencias Campus CientíficoTecnológico,"Crta. de Barcelona, Km. 33,600 28871 Alcalá de Henares (Madrid)",91 885 49 16,www.uah.es/facultadciencias,decanato.biologia@uah.es
Física Aplicada,Universidad Antonio de Nebrija,Privada,Escuela Politécnica Superior Campus Madrid Princesa,"C/ Santa Cruz de Marcenado, 27. 28015 Madrid",91 452 11 03,www.nebrija.com,informa@nebrija.es
Geología Realizan: Estudios del interior y exterior de la tierra. Búsqueda,Universidad Complutense de Madrid,Pública,Facultad de Ciencias Geológicas,"C/ José Antonio Novais, 12 Ciudad Universitaria 28040 Madrid",91 394 48 37,www.ucm.es,infoweb@geo.ucm.es
Matemáticas Aplicadas,Universidad Autónoma de Madrid,Pública,Facultad de Ciencias Campus Cantoblanco,"C/ Francisco Tomás y Valiente, 7 28049 Madrid",91 497 43 31,www.uam.es,informacion.ciencias@uam.es
Matemáticas Aplicadas,Universidad Complutense de Madrid,Pública,"Facultad de Ciencias Matemáticas Ciudad Universitaria Plaza de las Ciencias, 3 28040 Madrid Tel",,91 394 46 24,www.ucm.es,sdamat@ucm.es
Matemáticas Aplicadas,Universidad Rey Juan Carlos,Pública,Escuela Técnica Superior de Ingeniería Informática Campus Móstoles,"C/ Tulipán, s/n 28933 Móstoles (Madrid)",91 488 76 23,www.urjc.es,etsii.info@urjc.es
Matemáticas Aplicadas,Universidad Politécnica de Madrid,Pública,Escuela Politécnica de Enseñanza Superior (EPES) Centro de impartición de la docencia,"Avda. Puerta de Hierro, 24 28040 Madrid",,www.epes.upm.es,secretaria.epes@upm.es
Matemáticas Aplicadas,Universidad Nacional de Educación a Distancia UNED,Pública,Facultad de Ciencias,"Paseo Senda de Rey, 9 28040 Madrid",91 398 71 04 / 91 398 71 06,www.uned.es,
Matemáticas Aplicadas,Universidad Internacional de la Empresa UNIE,Privada,Facultad de CC,"C/ Arapiles, 14. 28015 Madrid",91 903 22 01,www.universidadunie.com,admisiones.grado@universidadunie.com
Matemáticas y Ciencia de Datos,Universidad Complutense de Madrid,Pública,"Facultad de Ciencias Matemáticas Ciudad Universitaria Plaza de las Ciencias, 3 28040 Madrid Tel",,91 394 46 24,www.ucm.es,sdamat@ucm.es
Bioquímica,Universidad Autónoma de Madrid,Pública,Facultad de Ciencias Campus Cantoblanco,"C/ Francisco Tomás y Valiente, 7 28049 Madrid",91 497 43 31,www.uam.es | www.uam.es/oae/contacto,
Bioquímica,Universidad Complutense de Madrid,Pública,"Facultad de Ciencias Químicas Ciudad Universitaria Plaza de las Ciencias, 3 28040 Madrid Tel",,91 394 42 98,www.ucm.es,informacion@ucm.es
Química Tienen,Universidad de Alcalá,Pública,Facultad de Ciencias Campus CientíficoTecnológico Ctra,,91 885 49 05,www.uah.es/facultadciencias,decanato.quimica@uah.es
Química Tienen,Universidad Autónoma de Madrid,Pública,Facultad de Ciencias Campus Cantoblanco,"C/ Francisco Tomás y Valiente, 7 28049 Madrid",91 497 68 79,www.uam.es | www.uam.es/oae/contacto,
Química Tienen,Universidad Complutense de Madrid,Pública,"Facultad de Ciencias Químicas Ciudad Universitaria Plaza de las Ciencias, 3 28040 Madrid Tel",,91 394 42 98,www.ucm.es,informacion@ucm.es
Química Tienen,Universidad Nacional de Educación a Distancia UNED,Pública,Facultad de Ciencias,"Paseo Senda del Rey, 9 28040 Madrid",91 398 71 14,www.uned.es,infouned@adm.uned.es
Biología Sanitaria,Universidad de Alcalá,Pública,Facultad de Ciencias Campus CientíficoTecnológico Ctra,,91 885 49 16,www.uah.es/facultadciencias,decanato.biologia@uah.es
Biología Sanitaria,Universidad San Pablo CEU,Privada,Facultad de Farmacia Campus de Montepríncipe,Urb. Montepríncipe 28925 Alcorcón (Madrid),91 372 47 00,www.uspceu.com,info.usp@ceu.es
Ciencias de la Actividad Física y del Deporte,Universidad de Alcalá,Pública,Facultad de Medicina y Ciencias de la Salud Campus CientíficoTecnológico Ctra,,91 885 48 55,www.medicinaycienciasdelasalud.uah.es,decanato.ccafyde@uah.es
Ciencias de la Actividad Física y del Deporte,Universidad Alfonso X El Sabio,Privada,Facultad de Ciencias de la Salud Campus de Villanueva de la Cañada,"Avda. de la Universidad, 1 28691 Villanueva de la Cañada (Madrid)",91 810 92 00,www.uax.es,info@uax.es
Ciencias de la Actividad Física y del Deporte,Universidad Camilo José Cela,Privada,Facultad de Salud,"C/ Castillo de Alarcón, 49 Urb. Villafranca del Castillo 28692 Villanueva de la Cañada (Madrid)",91 815 31 31,www.ucjc.edu,info@ucjc.edu
Ciencias de la Actividad Física y del Deporte,Universidad Francisco de Vitoria,Privada,Facultad de Ciencias CC,,91 351 03 03,www.ufv.es,info@ufv.es
Enfermería,Universidad de Alcalá,Pública,Facultad de Medicina y Ciencias de la Salud Campus CientíficoTecnológico Ctra,"C/ Cifuentes, 28 Edificio Multidepartamental 19003 Guadalajara",91 885 45 74 / 949 20 96 05,www.medicinaycienciasdelasalud.uah.es,ciu@uah.es | decanato.enfermyfisiot@uah.es | euenfermeria.guada@uah.es
Enfermería,Universidad Alfonso X El Sabio,Privada,Facultad de Ciencias de la Salud Campus de Villanueva de la Cañada,"Avda. de la Universidad, 1 28691 Villanueva de la Cañada (Madrid)",91 810 92 00,www.uax.es,info@uax.es
Enfermería,Universidad Antonio de Nebrija,Privada,Facultad de CC,C/ del Hostal s/n 28240 Hoyo de Manzanares (Madrid),91 452 11 01,www.nebrija.com,informa@nebrija.es
Enfermería,Universidad Autónoma de Madrid,Pública,Facultad de Medicina Campus Medicina UAM,"C/ Arzobispo Morcillo, 4 28029 Madrid",91 497 54 58 / 91 534 36 49 / 91 550 48 63,www./euenfermeriacruzroja.com | www.fjd.es/escuela_enfermeria | www.uam.es,euenfermeria.fjd@fjd.es | informacion.medicina@uam.es
Enfermería,Universidad Autónoma de Madrid,Pública,Facultad de Medicina Campus Medicina UAM,"Avda. Reyes Católicos, 2 28040 Madrid",91 497 54 58 / 91 534 36 49 / 91 550 48 63,www./euenfermeriacruzroja.com | www.fjd.es/escuela_enfermeria | www.uam.es,euenfermeria.fjd@fjd.es | informacion.medicina@uam.es
Enfermería,Universidad Autónoma de Madrid,Pública,Facultad de Medicina Campus Medicina UAM,"Avda. Reina Victoria, 28. 4ª planta 28003 Madrid",91 497 54 58 / 91 534 36 49 / 91 550 48 63,www./euenfermeriacruzroja.com | www.fjd.es/escuela_enfermeria | www.uam.es,euenfermeria.fjd@fjd.es | informacion.medicina@uam.es
Enfermería,Universidad Camilo José Cela,Privada,Facultad de Salud,"C/ Castillo de Alarcón, 49 28692 Villanueva de la Cañada (Madrid)",91 815 31 31,www.ucjc.edu,info@ucjc.es
Enfermería,Universidad Complutense de Madrid,Pública,"Facultad de Enfermería, Fisioterapia y Podología","Pza. Ramón y Cajal, 3 Ciudad Universitaria 28040 Madrid",91 394 15 24,www.ucm.es,secre.alumnos@enf.ucm.es | secre.decaenf@ucm.es
Enfermería,Universidad Europea de Madrid,Privada,Facultad de Ciencias Biomédicas y de la Salud Campus de Villaviciosa de Odón,"C/ Tajo, s/n. Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid)",91 414 66 11 / 91 740 72 72,www.universidadeuropea.es,ads@uem.es
Enfermería,Universidad Francisco de Vitoria,Privada,Facultad de Ciencias de la Salud Ctra,,91 351 03 03 / 91 709 14 00,www.ufv.es,info@ufv.es
Enfermería,Universidad Pontificia Comillas,Privada,Escuela Universitaria de Enfermería y Fisioterapia “San Juan de Dios”,"Avda. de San Juan de Dios, 1 28350 Ciempozuelos (Madrid)",91 893 37 69,www.comillas.edu,oia@comillas.edu
Enfermería,Universidad Pontificia Comillas,Privada,Escuela Universitaria de Enfermería y Fisioterapia “San Juan de Dios”,"Paseo de la Habana, 70 Bis 28016 Madrid",91 893 37 69,www.comillas.edu,oia@comillas.edu
Enfermería,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Salud Campus de Alcorcón,"Avda. de Atenas, s/n 28922 Alcorcón (Madrid)",91 488 89 17 / 91 488 93 93,www.urjc.es,alcorcon.secretariadealumnos@urjc.es
Enfermería,Universidad San PabloCEU,Privada,Facultad de Medicina Campus de Monteprincipe,Urb. Montepríncipe 28925 Alcorcón (Madrid),91 372 47 00,www.uspceu.com,info.usp@ceu.es
Farmacia,Universidad de Alcalá,Pública,Facultad de Farmacia Campus CientíficoTecnológico Ctra,,91 885 46 69,www.uah.es/medicina,decanato.farmacia@uah.es
Farmacia,Universidad Alfonso X El Sabio,Privada,Facultad de Farmacia Campus de Villanueva de la Cañada,"Avda. de la Universidad, 1 28691 Villanueva de la Cañada (Madrid)",91 810 92 00,www.uax.es,info@uax.es
Farmacia,Universidad Camilo José Cela,Privada,Facultad de Salud,"C/ Castillo de Alarcón, 49 28692 Villanueva de la Cañada (Madrid)",91 815 31 31,www.ucjc.edu,info@ucjc.es
Farmacia,Universidad Complutense de Madrid,Pública,"Facultad de Farmacia Campus de Moncloa Plaza de Ramón y Cajal, s/n Ciudad Universitaria 28040 Madrid Tels",,91 394 72 19,www.ucm.es,información@ucm.es
Farmacia,Universidad Europea de Madrid,Privada,Facultad de Ciencias Biomédicas y de la Salud Campus de Villaviciosa de Odón,"C/ Tajo, s/n. Edificio B Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid)",91 414 66 11 / 91 740 72 72,www.universidadeuropea.es/madrid,ads@universidadeuropea.es
Farmacia,Universidad Francisco de Vitoria,Privada,Facultad de Ciencias Experimentales Ctra,,91 351 03 03 / 91 709 14 00,www.ufv.es,info@ufv.es
Farmacia,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Salud Campus Alcorcón,"Avda. de Atenas, s/n 28922 Alcorcón (Madrid)",91 488 89 17 / 91 488 93 93,www.urjc.es,alcorcon.secretariadealumnos@urjc.es
Farmacia,Universidad San PabloCEU,Privada,Facultad de Farmacia Campus de Montepríncipe,Urb. Montepríncipe 28925 Alcorcón (Madrid),91 372 47 00,www.uspceu.com,info.usp@ceu.es
Fisioterapia,Universidad de Alcalá,Pública,Facultad de Medicina y Ciencias de la Salud Campus Científico Tecnológico Ctra,,91 885 45 74,www.uah.es/medicina,decanato.enfermyfisiot@uah.es
Fisioterapia,Universidad Alfonso X El Sabio,Privada,Facultad de Ciencias de la Salud Campus de Villanueva de la Cañada,"Avda. de la Universidad, 1 28691 Villanueva de la Cañada (Madrid)",91 810 92 00,www.uax.es,info@uax.es
Fisioterapia,Universidad Antonio de Nebrija,Privada,Facultad de CC,C/ del Hostal s/n 28240 Hoyo de Manzanares (Madrid),91 452 11 01,www.nebrija.com,informa@nebrija.es
Fisioterapia,Universidad Camilo José Cela,Privada,Facultad de Salud,"C/ Castillo de Alarcón, 49 28692 Madrid",91 815 31 31,www.ucjc.edu,info@ucjc.es
Fisioterapia,Universidad Complutense de Madrid,Pública,"Facultad de Enfermería, Fisioterapia y Podología","Pza. Ramón y Cajal, 3 Ciudad Universitaria 28040 Madrid",91 394 15 30,www.ucm.es,secre.alumnos@enf.ucm.es
Fisioterapia,Universidad Europea de Madrid,Privada,Facultad de Ciencias Biomédicas y de la Salud Campus de Villaviciosa de Odón,"C/ Tajo, s/n Edificio A Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid)",91 414 66 11 / 91 740 72 72,www.universidadeuropea.es/madrid,ads@universidadeuropea.es
Fisioterapia,Universidad Pontificia Comillas,Privada,Escuela Universitaria de Enfermería y Fisioterapia “San Juan de Dios”,"Avda. de San Juan de Dios, 1 28350 Ciempozuelos (Madrid)",91 564 18 68 / 91 893 37 69,www.comillas.edu,oia@comillas.edu
Fisioterapia,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Salud Campus Alcorcón,"Avda. de Atenas, s/n 28922 Alcorcón (Madrid)",91 488 89 17 / 91 488 93 93,www.urjc.es,alcorcon.secretariadealumnos@urjc.es
Fisioterapia,Universidad San PabloCEU,Privada,Facultad de Medicina Campus de Monteprincipe,Urb. Montepríncipe 28925 Alcorcón (Madrid),91 372 47 00,www.uspceu.com,info.usp@ceu.es
Fisioterapia,Universidad Internacional de la Empresa UNIE,Privada,Facultad de CC,"C/ Arapiles, 14 28015 Madrid",91 903 22 01,www.universidadunie.com,admisiones.grado@universidadunie.com
Logopedia,Universidad Complutense de Madrid,Pública,Facultad de Psicología Campus de Somosaguas 28223 Pozuelo de Alarcón (Madrid) Tel,,91 394 31 78,www.ucm.es,conps@ucm.es
Logopedia,Universidad Europea de Madrid,Privada,Facultad de Ciencias Biomédicas y de la Salud Campus de Villaviciosa de Odón,"C/ Tajo, s/n Edificio A Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid)",91 740 72 72,www.universidadeuropea.es/madrid,ads@uem.es
Biomedicina,Universidad Alfonso X El Sabio,Privada,Facultad de Ciencias de la Salud Campus de Villanueva de la Cañada,"Avda. de la Universidad, 1 28691 Villanueva de la Cañada (Madrid)",91 810 92 00,www.uax.es,info@uax.es
Biomedicina,Universidad Camilo José Cela,Privada,Facultad de Salud,"C/ Castillo de Alarcón, 49 28692 Villanueva de la Cañada (Madrid)",91 815 31 31,www.ucjc.edu,info@ucjc.es
Biomedicina,Universidad Europea de Madrid,Privada,Facultad de Ciencias Biomédicas y de la Salud Campus de Villaviciosa de Odón,"C/ Tajo, s/n Edificio A Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid)",91 740 72 72,www.universidadeuropea.es/madrid,ads@uem.es
Biomedicina,Universidad Francisco de Vitoria,Privada,Facultad de Ciencias Experimentales Ctra,,91 351 03 03 / 91 709 14 00,www.ufv.es,info@ufv.es
Medicina,Universidad de Alcalá,Pública,Facultad de Medicina y Ciencias de la Salud Campus CientíficoTecnológico,"Crta. de Barcelona, Km. 33,600 28871 Alcalá de Henares (Madrid)",91 885 45 04,www.uah.es/medicina,ciu@uah.es | decanato.medicina@uah.es
Medicina,Universidad Alfonso X El Sabio,Privada,Facultad de Ciencias de la Salud,"Avda. de la Universidad, 1 28691 Villanueva de la Cañada (Madrid)",91 810 92 00,www.uax.es,info@uax.es
Medicina,Universidad Autónoma de Madrid,Pública,Facultad de Medicina Campus Medicina UAM,"C/ Arzobispo Morcillo, 4 28029 Madrid",91 497 54 86,www.uam.es,informacion.medicina@uam.es
Medicina,Universidad Camilo José Cela,Privada,Facultad de Salud,"C/ Castillo de Alarcón, 49 28692 Villanueva de la Cañada (Madrid)",91 815 31 31,www.ucjc.edu,info@ucjc.es
Medicina,Universidad Complutense de Madrid,Pública,Facultad de Medicina Campus de Ciudad Universitaria,"Pza. Ramón y Cajal, s/n 28040 Madrid",91 394 13 01,www.ucm.es,decmed@ucm.es | secre.alumnos@med.ucm.es
Medicina,Universidad Europea de Madrid,Privada,Facultad de Ciencias Biomédicas y de la Salud Campus de Villaviciosa de Odón,"C/ Tajo, s/n. Edificio A. Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid)",91 740 72 72,www.universidadeuropea.es/madrid,ads@uem.es
Medicina,Universidad Francisco de Vitoria,Privada,Facultad de Ciencias de la Salud Ctra,,91 351 03 03 / 91 709 14 00,www.ufv.es,info@ufv.es
Medicina,Universidad Rey Juan Carlos,Pública,Facultad de Ciencias de la Salud Campus Alcorcón,"Avda. de Atenas, s/n 28922 Alcorcón (Madrid)",91 488 89 17 / 91 488 93 93,www.urjc.es,alcorcon.secretariadealumnos@urjc.es
Medicina,Universidad San PabloCEU,Privada,Facultad de Medicina Campus de Monteprincipe,Urb. Monteprincipe 28925 Alcorcón (Madrid),91 372 47 00,www.uspceu.com,info.usp@ceu.es
Medicina,Universidad San PabloCEU,Privada,Facultad de Medicina Campus de Montepríncipe,Urb. Montepríncipe 28925 Alcorcón (Madrid),91 372 47 00,www.uspceu.com,info.usp@ceu.es
Medicina,Universidad Francisco de Vitoria,Privada,Facultad de Ciencias Experimentales Ctra,,91 351 03 03 / 91 709 14 00,www.ufv.es,info@ufv.es
Nutrición Humana y Dietética,Universidad Alfonso X El Sabio,Privada,Facultad de Ciencias de la Salud Campus de Villanueva de la Cañada,"Avda. de la Universidad, 1 28691 Villanueva de la Cañada (Madrid)",91 810 92 00,www.uax.es,info@uax.es
Nutrición Humana y Dietética,Universidad Autónoma de Madrid,Pública,Facultad de Ciencias Edificio de Ciencias Campus Cantoblanco,"C/ Francisco Tomás y Valiente, 7 28049 Madrid",91 497 35 18,www.uam.es,informacion.ciencias@uam.es
Nutrición Humana y Dietética,Universidad Camilo José Cela,Privada,Facultad de Salud,"C/ Castillo de Alarcón, 49 Urb. Villafranca del Castillo 28692 Villanueva de la Cañada (Madrid)",91 815 31 31,www.ucjc.edu,info@ucjc.edu
Nutrición Humana y Dietética,Universidad Complutense de Madrid,Pública,Facultad de Medicina Campus de Ciudad Universitaria,"Pza. Ramón y Cajal, s/n 28040 Madrid",91 394 13 01,www.ucm.es,decmed@ucm.es | secre.alumnos@med.ucm.es
Nutrición Humana y Dietética,Universidad Europea de Madrid,Privada,Facultad de Ciencias Biomédicas y de la Salud Campus de Villaviciosa de Odón,"C/ Tajo, s/n. Edificio B Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid)",91 740 72 72,www.universidadeuropea.es/madrid,ads@universidadeuropea.es
Nutrición Humana y Dietética,Universidad Francisco de Vitoria,Privada,Facultad de Ciencias de la Salud Ctra,,91 351 03 03 / 91 709 14 00,www.ufv.es,info@ufv.es
Nutrición Humana y Dietética,Universidad San PabloCEU,Privada,Facultad de Farmacia,Urb. Montepríncipe 28925 Alcorcón (Madrid),91 372 47 00,www.uspceu.es,info.usp@ceu.es
Odontología,Universidad Alfonso X El Sabio,Privada,Facultad de Ciencias de la Salud Campus de Villanueva de la Cañada,"Avda. de la Universidad, 1 28691 Villanueva de la Cañada (Madrid)",91 810 92 00,www.uax.es,info@uax.es
Odontología,Universidad Camilo José Cela,Privada,Facultad de Salud,"C/ Castillo de Alarcón, 49 Urb. Villafranca del Castillo 28692 Villanueva de la Cañada (Madrid)",91 815 31 31,www.ucjc.edu,info@ucjc.edu
Odontología,Universidad Complutense de Madrid,Pública,Facultad de Odontología Campus de Ciudad Universitaria,"Pza. Ramón y Cajal, 3 28040 Madrid",91 394 19 10,www.ucm.es,infodon@pas.ucm.es
Odontología,Universidad Europea de Madrid,Privada,Facultad de Ciencias Biomédicas y de la Salud Campus de Villaviciosa de Odón y Clinicas Universitarias,"C/ Tajo, s/n. Edificio A. Urbanización El Bosque 28670 Villaviciosa de Odón (Madrid)",91 385 88 00 / 91 526 81 00 / 91 740 72 72,www.universidadeuropea.es/madrid,ads@universidadeuropea.es | policlinica@universidadeuropea.es
